Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	W6A	W7	W8	W9	W9Plus	W10	W10A	W12	Notes
London-North-Western-North	1046	NW4029	GJH	Mossband Jn – Network Rail Boundary	3	02	0	24	–	–	–	–	–	–	–	–	Line Out of Use
London-North-Western-North	1046	NW4031	GSW	Gretna Jn – Route Boundary (SC031)	116	13	115	40	Y	Y	Y	N	N	N	N	N	
London-North-Western-North	1046	NW4033	CBC1	Carnforth North Jn – Carnforth Station Jn	0	19	0	38	Y *	N	N	N	N	N	N	N	
London-North-Western-North	1046	NW4033	CBC1	Carnforth Station Jn – Limit of Electrification (Carnforth)	0	38	0	60	Y *	N	N	N	N	N	N	N	
London-North-Western-North	1046	NW4033	CBC1	Limit of Electrification (Carnforth) – Whitehaven	0	60	74	66	Y *	N	N	N	N	N	N	N	
London-North-Western-North	1046	NW4033	CBC1	Whitehaven – Bransty SB (Change of ELR)	74	66	74	73	Y *	N	N	N	N	N	N	N	
London-North-Western-North	1046	NW4033	CBC2	Bransty SB (Change of ELR) – Change of ELR (Maryport)	0	16	12	05	Y *	S1	S1	N	N	N	N	N	S1 Between Workington Main No.2 SB (6m 53ch) and Change of ELR (Maryport) the following combinations are permitted to run: Up to 2665(h), S21 TT x 2500(w) on FAA, FKA, IKA wagons 2595(h), S11 TT, S14 FT x 2500(w) on IFA, FIA wagons
London-North-Western-North	1047	NW4033	CBC3	Change of ELR (Maryport) – Carlisle South Jn	0	00	27	49	Y *	S1	S1	N	N	N	N	N	S1 The following combinations are permitted to run: Up to 2665(h), S21 TT x 2500(w) on FAA, FKA, IKA wagons 2595(h), S11 TT, S14 FT x 2500(w) on IFA, FIA wagons
London-North-Western-North	1047	NW4041	DAP	Dalton Jn – Park South Jn	0	00	0	76	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	1047	NW5001	CMP1	Crewe North Jn – Sandbach North Jn	158	17	162	62	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1047	NW5001	CMP1	Sandbach North Jn – Wilmslow South Jn	162	62	176	53	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1047	NW5001	CMP1	Wilmslow South Jn – Cheadle Hulme North Jn	176	53	180	67	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1047	NW5001	CMP1	Cheadle Hulme North Jn – Edgeley Jn No.1	180	67	182	36	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1047	NW5001	CMP2	Edgeley Jn No.1 – Edgeley Jn	182	36	182	59	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1047	NW5001	CMP2	Edgeley Jn – Slade Lane Jn	182	59	186	46	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1047	NW5001	CMP2	Slade Lane Jn – Ardwick Jn	186	46	188	08	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1047	NW5001	CMP2	Ardwick Jn – Manchester Piccadilly East Jn	188	08	188	48	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1047	NW5001	CMP2	Manchester Piccadilly East Jn – Manchester Piccadilly	188	48	188	70	Y *	N	N	N	N	N	N	N	
London-North-Western-North	1047	NW5003	STY	Wilmslow South Jn – Heald Green South Jn	0	00	2	50	Y	Y	Y	Y	N	Y	N	N	
