ROUTE	PAGE	LINE OF ROUTE	LINE OF ROUTE / SECTOR DESCRIPTION	W6A	W7	W8	W9	W9PLUS	W10	W10A	W12	NOTES
Western	0834	GW910	Craven Arms Jn – Pantyffynnon	S1 *	N	N	N	N	N	N	N	S1 Freight vehicles conforming to the W6a profile are permitted, EXCEPT IFA-S IFA-U wagons at Sugar Loaf Tunnel
Western	0834	GW910	Pantyffynnon – Morlais (former South) Jn	Y	N	N	N	N	N	N	N	
Western	0834	GW910	Morlais (former South) Jn – Llandeilo Jn	Y	Y	Y	N	N	N	N	N	
Western	0834	GW915	Gwaun-cae-Gurwen – Pantyffynnon	Y	N	N	N	N	N	N	N	
Western	0834	GW930	Carmarthen Jn – Carmarthen Station GF	Y *	Y	Y	N	N	N	N	N	
Western	0834	GW940	Up Sidings No.2 GF – Carmarthen Bridge Jn	Y	Y	Y	N	N	N	N	N	
Western	0834	GW950	Whitland – Pembroke Dock	Y *	Y	N	N	N	N	N	N	
Western	0834	GW960	Clarbeston Road – Haverfordwest	Y	Y	Y	N	N	N	N	N	
Western	0834	GW960	Haverfordwest – Herbranston Jn	Y	Y	N	N	N	N	N	N	
Western	0834	GW960	Herbranston Jn – Milford Haven	Y	N	N	N	N	N	N	N	
Western	0834	GW970	Gulf Oil Branch Jn – Waterston, Gulf Oil Refinery	Y	Y	N	N	N	N	N	N	
Western	0834	GW980	Herbrandston Jn – Robeston	Y	Y	N	N	N	N	N	N	
